Import Rates,Export Rates,Zip,Utility Name,Utility ID,Tariff Name,Tariff ID
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.36972064,0.36955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.36972064,0.36955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.36972064,0.36955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.36972064,0.36955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.36972064,0.36955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.36972064,0.36955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.36972064,0.36955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.36972064,0.36955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.36972064,0.36955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.36972064,0.36955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.36972064,0.36955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.36972064,0.36955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.36972064,0.36955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.36972064,0.36955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.36972064,0.36955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.36972064,0.36955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.23768564,0.23752044,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
0.33972064,0.33955544,96733,Maui Electric Co Ltd,314,TOU EV,3162918
